order_id,product_id,quantity,unit_price
1961864118,642612,3,517.03
1549769649,378676,1,881.42
9185164487,741341,2,923.84
9644738826,561860,1,874.78
5427684290,602241,2,976.55
3265154092,681063,1,321.28
4898355547,56589,3,517.77
6568151549,500739,2,359.98
6006693867,490939,1,80.25
374186990,760828,2,563.45
4455336265,753354,3,423.56
3539286337,684939,1,727.95
9171116867,500739,3,359.98
5504941865,540618,1,317.05
5868326481,53833,3,134.69
2137046916,455755,2,44.09
8195544338,131937,1,287.81
2889700050,798639,1,211.25
65827885,324809,3,608
4656471694,679284,1,877.89
6625178717,952168,3,236.95
7169557514,706112,2,478.79
2268306684,812607,2,416.65
6905293278,799952,1,922.64
1769493463,709916,3,33.76
5003387344,67197,3,552.2
2064484752,937542,3,97.04
964822979,455755,2,44.09
6037899648,669378,1,212.14
9347571484,112390,2,877.98
3286177534,891833,1,493.19
9073572548,60619,1,726.41
8395583761,561860,3,874.78
6355378227,993331,1,102.44
277376321,94225,3,77.11
8559748526,552496,1,508
1458051433,57405,3,607.67
5838302640,240179,3,90.56
1380971977,602241,3,976.55
1221099013,131937,1,287.81
6771166303,677542,3,212.61
7111337755,888807,3,230.58
5562922993,540618,1,317.05
5630957897,876139,2,415.75
1787380558,444361,3,822.63
32613017,451812,1,530.85
2039041670,287070,1,443.17
210693801,432617,3,863.18
8120002258,131937,1,287.81
2177917034,144124,2,162.67
4254814926,324809,1,608
6074172790,888807,2,230.58
3381573131,684939,1,727.95
3773745777,734789,1,395.82
9251939156,876139,3,415.75
3872982303,56589,2,517.77
2625987757,890232,1,432
3162249401,432617,1,863.18
3108986741,687218,3,317.82
1851474741,970529,3,827.44
2425099132,604184,2,397.55
6706793332,615545,2,448.16
2149289255,567671,3,418.48
1971008155,222892,1,869.22
2087093460,34186,2,925.65
2116712588,891833,1,493.19
6054358790,532965,1,307.23
532660797,962054,2,16.86
1491991005,33955,1,186.08
4136019599,644847,3,622.81
2122832513,954722,1,616.45
3717703595,500633,3,154.5
3194733693,240179,2,90.56
4471162437,820973,1,114.52
1609331948,490602,3,549.47
6920030794,256783,2,906.54
5127172657,913428,2,392.22
8607115856,324809,1,608
7154957395,516376,1,877.43
2070762702,566052,3,87.3
3697242439,897083,2,972.69
3063427913,799952,2,922.64
2060061337,690565,1,951.27
4625892678,317242,1,198.15
6045698170,965755,3,532.57
7876289647,863930,1,242.57
3434084714,264803,2,995.98
9031695663,697683,1,123.74
1955989715,679284,1,877.89
3459500455,992178,1,632.43
5953376503,300159,1,44.35
121874867,952124,3,127.08
2460545397,925482,1,475.04
9690050839,500633,2,154.5
2574349065,123983,3,785.67
2461936988,272170,2,140.8
6447596416,70969,1,631.7
7228452275,757274,2,98.32
6696750742,14145,2,630.84
822235931,611575,3,482.06
